NumeActiune,Timestamp
Creare student,2022-05-22T16:19:40.399179800
Creare student,2022-05-22T16:19:40.400115400
Creare materie,2022-05-22T16:19:40.401113700
Creare materie,2022-05-22T16:19:40.402110400
Creare materie,2022-05-22T16:19:40.402110400
Creare materie,2022-05-22T16:19:40.403108200
Creare profesor,2022-05-22T16:19:40.404104100
Creare profesor,2022-05-22T16:19:40.407117900
Creare profesor,2022-05-22T16:19:40.408093200
Creare profesor,2022-05-22T16:19:40.409090900
Adaugare student in catalog,2022-05-22T16:19:40.410310800
Adaugare student in catalog,2022-05-22T16:19:40.411301500
Adaugare student in catalog,2022-05-22T16:19:40.412299100
Adaugare student in catalog,2022-05-22T16:19:40.413296300
Adaugare materie in catalog,2022-05-22T16:19:40.414293500
Adaugare materie in catalog,2022-05-22T16:19:40.415290600
Adaugare materie in catalog,2022-05-22T16:19:40.415290600
Adaugare materie in catalog,2022-05-22T16:19:40.416288
Initializare catalog,2022-05-22T16:19:40.417285400
Adaugare nota student,2022-05-22T16:19:40.418283200
Adaugare nota student,2022-05-22T16:19:40.418283200
Adaugare nota student,2022-05-22T16:19:40.419280
Adaugare nota student,2022-05-22T16:19:40.420278400
Afisare medii descrescator,2022-05-22T16:19:40.433607500
Afisare studenti dupa nume alfabetic,2022-05-22T16:19:40.436597800
Creare catalog,2022-05-22T16:20:39.666230400
Creare catalog,2022-05-22T16:20:39.672214700
Creare student,2022-05-22T16:20:39.681297400
Creare student,2022-05-22T16:20:39.684183100
Creare student,2022-05-22T16:20:39.685435900
Creare student,2022-05-22T16:20:39.686177500
Creare materie,2022-05-22T16:20:39.686177500
Creare materie,2022-05-22T16:20:39.687354600
Creare materie,2022-05-22T16:20:39.688312
Creare materie,2022-05-22T16:20:39.689169
Creare profesor,2022-05-22T16:20:39.690168600
Creare profesor,2022-05-22T16:20:39.692163900
Creare profesor,2022-05-22T16:20:39.692163900
Creare profesor,2022-05-22T16:20:39.693159800
Adaugare student in catalog,2022-05-22T16:20:39.696150900
Adaugare student in catalog,2022-05-22T16:20:39.698146
Adaugare student in catalog,2022-05-22T16:20:39.699547300
Adaugare student in catalog,2022-05-22T16:20:39.701656200
Adaugare materie in catalog,2022-05-22T16:20:39.702764
Adaugare materie in catalog,2022-05-22T16:20:39.703650500
Adaugare materie in catalog,2022-05-22T16:20:39.704647700
Adaugare materie in catalog,2022-05-22T16:20:39.705645800
Initializare catalog,2022-05-22T16:20:39.706642200
Adaugare nota student,2022-05-22T16:20:39.707640
Adaugare nota student,2022-05-22T16:20:39.709636700
Adaugare nota student,2022-05-22T16:20:39.710632400
Adaugare nota student,2022-05-22T16:20:39.712626900
Afisare medii descrescator,2022-05-22T16:20:39.729527300
Afisare studenti dupa nume alfabetic,2022-05-22T16:20:39.733398400
